"JANCD","メーカー名","商品名称","出現日","金額PI","PI前週比","販売店率","平均売価"
4976994206413,"ハーゲンダッツジャパン","ハーゲンダッツ　華もち　吟撰きなこ黒みつ　９１ｍｌ","09月08日","919","434%","80%","220"
4976994206406,"ハーゲンダッツジャパン","ハーゲンダッツ　華もち　香ばしみたらし胡桃　９２ｍｌ","09月09日","643","437%","79%","221"
4902705034976,"明治","明治　エッセルスーパーカップバナナチョコチップ　２００ｍｌ","09月10日","420","338%","72%","92"
4901005380202,"江崎グリコ","パピコマスカットオブアレキサンドリア　８０ｍｌ×２","07月30日","333","89%","28%","94"
4901170101589,"赤城乳業","赤城乳業　イタリアンプリン　４２ｍｌ×６本","09月10日","327","473%","19%","213"
4902888351747,"森永製菓","森永製菓　パリパリサンド　６０ｍｌ","09月02日","325","59%","40%","92"
4902720148269,"森永乳業","森永乳業　ＰＡＲＭほうじ茶ラテ　５５ｍｌ×６","08月19日","321","82%","64%","295"
4902720146845,"森永乳業","森永乳業　ＭＯＷ　濃いチョコレート　１４０ｍｌ","08月19日","270","x","61%","89"
4953823477183,"ロッテ","ロッテ　爽　生チョコＩＮバニラ　１８５ｍｌ","09月10日","269","343%","67%","93"
4978002380573,"丸永製菓","丸永製菓　おいももなかマルチ　６８ｍｌ×５","08月22日","263","94%","19%","277"
4901551476312,"クラシエフーズ","クラシエ　ヨーロピアンシュガーコーン　キャラメル　５本","08月21日","232","84%","39%","214"
4901385143718,"協同乳業","メイトー　北海道かぼちゃプリン　７０ｇ×３","08月15日","230","111%","24%","159"
4907174108432,"ドンレミー","ドンレミー　モンブランプリンアラモード　１個","09月01日","219","88%","42%","188"
4901551476329,"クラシエフーズ","クラシエ　ヨーロピアンシュガーコーンショコラ　５６ｍｌ×５","08月22日","213","115%","6%","230"
4978002070597,"丸永製菓","丸永　おいももなか　１３０ｍｌ","08月21日","206","86%","29%","92"
4902720148276,"森永乳業","森永乳業　ＰＡＲＭ　ナッティー＆ショコラ　８０ｍｌ","08月27日","203","79%","44%","92"
4902738260090,"マンナンライフ","マンナンライフ　蒟蒻畑北海道メロン　１２個","09月09日","192","153%","13%","191"
4902720148054,"森永乳業","森永乳業　ギリシャヨーグルト　パルテノ　２８０ｇ","06月28日","192","95%","29%","336"
4908011601345,"雪印メグミルク","雪印メグミルク　牧場の朝ＹＧぶどう　７０ｇ","09月06日","186","116%","52%","92"
4933602429336,"プレシア","プレシア　４層仕立てのコーヒーバニラパルフェ　１個","07月01日","186","100%","12%","185"
4901006214896,"井村屋","井村屋　やわもちアイス　大学いも味　１３０ｍｌ","09月02日","180","60%","32%","97"
4902738260106,"マンナンライフ","x","09月09日","179","139%","12%","192"
4901006214889,"井村屋","井村屋　ごろろん果肉アップルパイバー　１個","09月03日","178","56%","21%","x"
4976994206437,"ハーゲンダッツジャパン","ハーゲンダッツ　濃苺　１００ｍｌ","07月21日","178","103%","6%","270"
4907174108463,"ドンレミー","ドンレミー　ティラミスプリンパフェ　１個","09月01日","176","93%","25%","190"
4907174108449,"ドンレミー","ドンレミー　白玉とわらび餅のきなこプリン　１個","09月01日","173","98%","25%","188"
4907174108456,"ドンレミー","ドンレミー　ショコラ＆キャラメルパフェ　１個","09月01日","x","96%","24%","181"
4970020120223,"オハヨー乳業","オハヨー乳業　おいしく果実りんご　４０ｍｌ×７","09月01日","157","78%","12%","205"
4978002070603,"丸永製菓","丸永　あいすまんじゅう和栗　９５ｍｌ","08月21日","156","103%","x","92"
4901551476336,"クラシエフーズ","クラシエフーズ　ヨーロピアンシュガーコーンホワイト６１ｍｌ×５","08月21日","155","90%","12%","292"
4907174108425,"ドンレミー","ドンレミー　ごちそう果実　和梨のパフェ　１個","09月01日","153","94%","36%","171"
4907174108470,"ドンレミー","ドンレミー　鳴門金時の焼いもスフレプリン　１個","09月01日","153","82%","23%","166"
4902053208609,"トーラク","トーラク　京都府産丹波栗のプリン　９５ｇ","09月13日","148","0%","17%","105"
4971666511277,"江崎グリコ","グリコ　朝食ももヨーグルト　７０ｇ×３","08月02日","146","109%","28%","135"
4907174108418,"ドンレミー","ドンレミー　ごちそう果実ぶどうと桃　１個","09月01日","144","97%","36%","169"
49837384,"森永乳業","森永乳業　森永れん乳アイス　１６０ｍｌ","09月11日","143","180%","13%","99"
45212901,"ダノンジャパン","ダノン　オイコス　脂肪０　洋ナシ　１１３ｇ","08月18日","139","93%","34%","151"
4953823824581,"ロッテ","ロッテ　爽　甘熟梨　１８５ｍｌ","08月03日","x","89%","61%","95"
4902705034969,"明治","明治　エッセルスーパーカップカフェオレ＆チョコ　２００ｍｌ","x","125","60%","48%","95"
4976994206284,"ハーゲンダッツジャパン","ハーゲンダッツ　ヘーゼルナッツ＆ミルク　１１０ｍｌ","06月25日","120","84%","18%","229"
4902705044258,"明治","明治　プロビオヨーグルトＲ－１ドリンクＧＦ　１１２ｍｌ","07月05日","119","102%","25%","113"
4976994150914,"ハーゲンダッツジャパン","ハーゲンダッツ　ＣＳアーモンドバターサンド　６０ｍｌ","08月12日","116","88%","53%","232"
4901006214759,"井村屋","ＫＡＳＡＮＥＬ　ＣＨＥＥＳＥ！ＣＨＥＥＳＥ！ＣＨＥＥＳＥ！　１個","09月04日","116","61%","11%","94"
4901170002541,"赤城乳業","赤城乳業　ガリガリ君白いサワー　１０５ｍｌ","08月28日","111","78%","21%","57"
4976994720148,"ハーゲンダッツジャパン","ハーゲンダッツ　バーマロンタルト　８０ｍｌ","08月26日","110","90%","48%","234"
4902720148412,"森永乳業","森永乳業　チェリオ　紅茶アイスとビターチョコ　８５ｍｌ","09月04日","107","55%","7%","92"
4901170020248,"x","赤城　ソフ　ストロベリー　１５０ｍｌ","08月27日","107","64%","40%","91"
4580403007135,"カンパーニュ","カンパーニュ　りんごと桃の果実パフェ　１個","09月01日","106","92%","x","148"
4902720148603,"森永乳業","森永乳業　ギリシャＹＧパルテノオレンジソース８０ｇ","07月19日","x","110%","35%","125"
4976994206291,"ハーゲンダッツジャパン","ハーゲンダッツ　マンゴー＆パッションフル　１１０ｍｌ","06月25日","101","90%","35%","226"
